"id","name","agency","genres","image_url","popularity","songkick_id","spotify_url","spotify_id","spotify_followers"
3,"Alesso","WME","big room, dance pop, edm, electro house, pop, progressive electro house, tropical house","https://i.scdn.co/image/021f014a6809e5b7f1ef1c18bf247fd9ccacb193",81,4329851,"https://open.spotify.com/artist/4AVFqumd2ogHFlRbKIjp1t","4AVFqumd2ogHFlRbKIjp1t",2296228
4,"Adam Beyer","WME","house, minimal techno, schranz, tech house, techno","https://i.scdn.co/image/1030d6e68eb67ff57d4ee04121d3450ec35e9d14",54,173218,"https://open.spotify.com/artist/1btv9qmIpbp7q1ixCYNdHu","1btv9qmIpbp7q1ixCYNdHu",128307
5,"Adam Beyer","WME","house, minimal techno, schranz, tech house, techno","https://i.scdn.co/image/1030d6e68eb67ff57d4ee04121d3450ec35e9d14",54,173218,"https://open.spotify.com/artist/1btv9qmIpbp7q1ixCYNdHu","1btv9qmIpbp7q1ixCYNdHu",128307
6,"AlunaGeorge","WME","electropop, house, indie r&b, indietronica, pop, tropical house","https://i.scdn.co/image/2cb91f6664f67d9bce335abd4bbf4a73a7ed9af3",71,3909671,"https://open.spotify.com/artist/2VAnyOxzJuSAj7XIuEOT38","2VAnyOxzJuSAj7XIuEOT38",326986
7,"Afrojack","WME","big room, dance pop, deep big room, dutch house, edm, electro house, pop, progressive electro house, progressive house, tropical house","https://i.scdn.co/image/bec25756309b1f7af565252f78709d69a8f11974",75,2479031,"https://open.spotify.com/artist/4D75GcNG95ebPtNvoNVXhz","4D75GcNG95ebPtNvoNVXhz",2309822
8,"Apster","WME","big room, dutch house","https://i.scdn.co/image/97ac608af943e1f01488aa38da85882cb58e7029",40,3494066,"https://open.spotify.com/artist/0bi8sypegPFiP6Rd9gdkyz","0bi8sypegPFiP6Rd9gdkyz",4236
9,"Annie Lennox","WME","folk, folk-pop, lilith, mellow gold, new wave pop, pop rock, scottish new wave, soft rock","https://i.scdn.co/image/fb1b39783fdc9625bcba0837e7da9882969eaa03",63,2476291,"https://open.spotify.com/artist/5MspMQqdVbdwP6ax3GXqum","5MspMQqdVbdwP6ax3GXqum",437122
10,"Bag Raiders","WME","alternative dance, australian dance, filter house, indietronica","https://i.scdn.co/image/da28b5d29dc75072d83b5892ea3db97926cbe914",60,975813,"https://open.spotify.com/artist/6fXEqmGQEt6ONuqVmwrN46","6fXEqmGQEt6ONuqVmwrN46",136557
11,"Basement Jaxx","WME","alternative dance, big beat, dance pop, disco house, electronic, new rave, uk garage, vocal house","https://i.scdn.co/image/4c74994e83cacb4ee9b5fce6d6dcbe937b8642e6",59,44913,"https://open.spotify.com/artist/4YrKBkKSVeqDamzBPWVnSJ","4YrKBkKSVeqDamzBPWVnSJ",249350
12,"BAYNK","WME","aussietronica, electropop, indie poptimism, tropical house, vapor soul","https://i.scdn.co/image/6405fd617f1f99516c6577dd707e34784377683a",60,8685484,"https://open.spotify.com/artist/28yVvEvA2lT3K5RNIhV1Dj","28yVvEvA2lT3K5RNIhV1Dj",26214
13,"Ben Nicky","WME","progressive uplifting trance, uplifting trance","https://i.scdn.co/image/fa65f6fcd9924e85222268af9ececbf92e88d4cd",45,1403293,"https://open.spotify.com/artist/3Bd1phrOZJuCev9U0bzdtA","3Bd1phrOZJuCev9U0bzdtA",18730
14,"Björk","WME","alternative dance, art pop, chamber pop, electronic, electropop, experimental pop, folk-pop, icelandic pop, metropopolis, permanent wave, pop rock, trip hop","https://i.scdn.co/image/5001ca3c3cd95734aac7320d2199b9b515595375",63,492728,"https://open.spotify.com/artist/7w29UYBi0qsHi5RTcv3lmA","7w29UYBi0qsHi5RTcv3lmA",803225
15,"Black Coffee","WME","afro house, deep house, kwaito house","https://i.scdn.co/image/db715976679d76f7c79c54c0f97c72c5637ed155",65,421804,"https://open.spotify.com/artist/6wMr4zKPrrR0UVz08WtUWc","6wMr4zKPrrR0UVz08WtUWc",155714
16,"Borgore","WME","bass trap, brostep, dubstep, edm, electro house, electronic trap","https://i.scdn.co/image/267a9d296e20115ef8285ef7909751cd1f2ca6d8",61,2426086,"https://open.spotify.com/artist/7u160I5qtBYZTQMLEIJmyz","7u160I5qtBYZTQMLEIJmyz",441822
17,"Bobby Burns","WME","progressive electro house","https://i.scdn.co/image/ca5b044709cf6016ca14c9fae7c4ccfc77f6d62f",23,947596,"https://open.spotify.com/artist/0FhsW40UydsdpNcKlkJEKC","0FhsW40UydsdpNcKlkJEKC",1558
18,"Booka Shade","WME","electronic, german techno, microhouse, minimal techno, tech house","https://i.scdn.co/image/8c0fbe0fb1c86825adeb18bf0a019a22827c4422",51,295932,"https://open.spotify.com/artist/2CKaDZ1Yo8YnWega9IeUzB","2CKaDZ1Yo8YnWega9IeUzB",113010
19,"Calvin Harris","WME","edm, electro house, house, pop, progressive house","https://i.scdn.co/image/7b4c05bee8c822c006b372e26ef1b08acc3af45a",90,82547,"https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY","7CajNmpbOovFoOoasH2HaY",13691351
20,"Charlotte de Witte","WME","minimal techno, tech house","https://i.scdn.co/image/d114011ed9245d86184e7f6a1ccf1de9f9bb3e24",48,8805714,"https://open.spotify.com/artist/1lJhME1ZpzsEa5M0wW6Mso","1lJhME1ZpzsEa5M0wW6Mso",62993
21,"Chase Rice","WME","contemporary country, country, country road, modern country rock, redneck","https://i.scdn.co/image/b1d5172813916a80dd5fa3ba4a0ec281e9c62d48",67,3002876,"https://open.spotify.com/artist/6pBNfggcZZDCmb0p92OnGn","6pBNfggcZZDCmb0p92OnGn",469066
22,"Chris Lake","WME","big room, brazilian electronica, brostep, deep groove house, disco house, edm, electro house, electronic trap, house, melbourne bounce, progressive electro house, progressive house, tech house, tropical house","https://i.scdn.co/image/b5a5ac37867b209a77e5448152b2861e1ff0a333",65,211161,"https://open.spotify.com/artist/5Igpc9iLZ3YGtKeYfSrrOE","5Igpc9iLZ3YGtKeYfSrrOE",77561
23,"Chuckie","WME","big room, deep big room, dutch house, edm, electro house, house, melbourne bounce, progressive electro house","https://i.scdn.co/image/1cbc13e4131461d8631d527c955ba83dddde099d",51,937055,"https://open.spotify.com/artist/4x7gxsrTH3gThvSKZPPwaQ","4x7gxsrTH3gThvSKZPPwaQ",100998
24,"CID","WME","big room, deep big room, deep groove house, edm, electro house, house, progressive electro house, progressive house, tropical house, tropical pop edm","https://i.scdn.co/image/eb955139baf406a2b89eb44c1359db1d238d016a",68,179311,"https://open.spotify.com/artist/4FCzCS0KEgb0rgySWINItO","4FCzCS0KEgb0rgySWINItO",43290
25,"Claptone","WME","deep disco house, german techno, house, progressive house, tropical house","https://i.scdn.co/image/8bd420e28c2b99b9fe7d3f4bc931c681c42d4ae1",64,5384948,"https://open.spotify.com/artist/4mncDFjVLUa3s025Tct3Ry","4mncDFjVLUa3s025Tct3Ry",166827
26,"Cristoph","WME","deep disco house, deep house, deep melodic euro house, house, minimal tech house, progressive house, tech house, tribal house","https://i.scdn.co/image/dacdfb9df119c14609d67ef0a128411c85b252c6",47,8417318,"https://open.spotify.com/artist/532SqCIYmJyXEdEiCJLgYG","532SqCIYmJyXEdEiCJLgYG",14609
27,"D-wayne","WME","deep big room","https://i.scdn.co/image/12d5eb6a8157481eef038cf3682bb8d8e8399481",36,597972,"https://open.spotify.com/artist/7s8qj3Bzbzoyw1t1y88GuX","7s8qj3Bzbzoyw1t1y88GuX",4754
28,"deadmau5","WME","big room, edm, electro house, progressive house","https://i.scdn.co/image/86e8991077d6ce237be8f24dbc65e90f2e1f2a43",70,244669,"https://open.spotify.com/artist/2CIMQHirSU0MQqyYHq0eOx","2CIMQHirSU0MQqyYHq0eOx",2093091
29,"Daniel Avery","WME","chamber psych, electronic, float house, microhouse, minimal techno, shiver pop, tech house","https://i.scdn.co/image/d4a72af98f3f47431f5fe211f388a89d47f464a5",47,4913413,"https://open.spotify.com/artist/1EULJuDFWpZ9xg4YwtUGGt","1EULJuDFWpZ9xg4YwtUGGt",44135
30,"Deorro","WME","big room, dance pop, edm, electro house, melbourne bounce, pop, progressive electro house, tropical house","https://i.scdn.co/image/476809dfd990e91adb7c33c0981e1c7e9b073ec2",71,5817944,"https://open.spotify.com/artist/6VD4UEUPvtsemqD3mmTqCR","6VD4UEUPvtsemqD3mmTqCR",765840
31,"Disciples","WME","deep groove house, disco house, edm, house, tropical house","https://i.scdn.co/image/4e04fe99fb10d9894df908d54f0fdb150a54f831",67,348703,"https://open.spotify.com/artist/5EehXjjMktLuJmbRsM7YfB","5EehXjjMktLuJmbRsM7YfB",135847
